Name,Intelligence,Strength,Speed,Durability,Power,Combat,Tier,SuperPowers,Universe,Alignment,Gender
Bomb,50,25,8,25,30,45,1,"Durability,Stamina,Super Strength,Agility,Endurance,Explosion Manipulation,Fire Resistance,Heat Generation,Heat Resistance,Reflexes,Stealth,Invulnerability",Angry Birds,Good,Male
Bubbles,0,0,0,0,0,0,0,Null,Angry Birds,,
Chuck,55,6,65,25,40,55,1,"Durability,Endurance,Stamina,Stealth,Super Speed,Accelerated Healing,Agility,Animal Attributes,Animal Oriented Powers,Dexterity,Jump,Reflexes,Regeneration",Angry Birds,Good,Male
Hatchlings,0,0,0,0,0,0,0,Null,Angry Birds,,
Matilda,55,6,7,25,25,45,1,"Durability,Endurance,Intelligence,Stamina,Accelerated Healing,Agility,Animal Attributes,Animal Oriented Powers,Explosion Manipulation,Heat Generation,Jump,Reflexes,Stealth,Regeneration",Angry Birds,Good,Female
Mighty Eagle,60,25,25,25,25,60,1,"Durability,Endurance,Intelligence,Stamina,Super Speed,Super Strength,Agility,Animal Attributes,Animal Oriented Powers,Flight,Reflexes,Stealth,Cold Resistance",Angry Birds,Good,Male
Red,60,6,8,30,10,50,1,"Durability,Intelligence,Stamina,Agility,Animal Attributes,Animal Oriented Powers,Stealth",Angry Birds,Good,Male
Terence,60,25,20,25,15,50,1,"Durability,Stamina,Super Speed,Super Strength,Accelerated Healing,Animal Attributes,Animal Oriented Powers,Reflexes,Stealth,Regeneration",Angry Birds,Good,Male
Albus,45,6,25,25,80,45,6,"Ability Shift,Absolute Condition,Absorption,Acausality,Accelerated Development,Accelerated Healing,Acrobatics,Agility,Antiforce Manipulation,Arcane Magic,Arcane Magic,Astral Projection,Berserk Mode,Blood Manipulation,Bloodlust,Bullet Time,Chaos Energy,Chaos Magic,Chaos Manipulation,Conceptual Manipulation,Cryokinesis,Crystal Touch,Curse Manipulation,Dark Arts,Dark Magic,Dark Matter Manipulation,Darkforce Manipulation,Durability,Electrical Transport,Electro-Magnetism Manipulation,Electrokinesis,Energy Blasts,Enhanced Senses,Exorcism,Fire Control,Heal,Heat Generation,Hellfire Manipulation,Holy Manipulation,Magma Manipulation,Marksmanship,Master Martial Artist,Master Tactician,Non-Physical Interaction,Reflexes,Regeneration,Regeneration Negation,Rune Magic,Sealing,Super Speed,Super Strength,Supernatural Condition,Unholy Manipulation,Void Manipulation,Weapon-based Powers,Weapons Master,Air Control,Antimatter Manipulation,Astral Trap,Astral Travel,Astro Force,Black Hole Manipulation,Body Puppetry,Causality Manipulation,Damage Transferal,Dimension Storage,Dimensional Awareness,Dimensional Travel,Durability Negation,Enhanced Condition,Enhanced Hearing,Enhanced Memory,Enhanced Sight,Enhanced Smell,Enhanced Thievery,Enhanced Touch,Flight,Higher Dimensional Manipulation,Lava Manipulation,Magic,Pain Suppression,Self-Sustenance,Space Manipulation,Spatial Manipulation,Super Breath,Compassion Inducement",Castlevania - Castlevania,Bad,Male
Alucard,80,100,7,100,100,90,7,"Accelerated Healing,Acrobatics,Agility,Blood Manipulation,Bloodlust,Cold Resistance,Cryokinesis,Darkforce Manipulation,Dexterity,Durability,Durability Negation,Elemental Transmogrification,Endurance,Energy Manipulation,Energy Resistance,Enhanced Hearing,Enhanced Memory,Enhanced Senses,Enhanced Sight,Enhanced Smell,Enhanced Touch,Fear Manipulation,Heat Resistance,Immortality,Intelligence,Invulnerability,Jump,Levitation,Luck,Magic,Master Martial Artist,Master Tactician,Radiation Absorption,Radiation Control,Radiation Immunity,Reflexes,Regeneration,Regeneration Negation,Sealing,Shapeshifting,Soul Manipulation,Soul Resistance,Stamina,Statistics Amplification,Super Speed,Super Strength,Swordsmanship,Time Manipulation,Toxin and Disease Control,Toxin and Disease Resistance,Weapons Master,Acid Resistants,Air Control,Animal Control,Attack Reflection,Berserk Mode,Causality Resistance,Clairvoyance Resistance,Corruption Resistance,Curse Resistance,Damage Boost,Electricity Resistance,Electrokinesis,Element Control,Fire Control,Fire Resistance,Flight,Force Fields,Heat Generation,Hellfire Manipulation,Hellfire Resistance,Holy Manipulation,Holy Resistance,Illusion Resistance,Immortality Negation,Indomitable Will,Information Analysis,Intangibility,Light Control,Magic Resistance,Mind Control Resistance,Non-Physical Interaction,Petrification,Possession Resistance,Power Nullifier,Precognition,Reality Warping Resistance,Resurrection,Self-Sustenance,Sound Manipulation,Summoning,Telepathy,Telepathy Resistance,Teleportation,Time Manipulation Resistance,Timeframe Control,Transmutation,Unholy Resistance,Weapon Summoning",Castlevania - Castlevania,Good,Male
